method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,f1,best_f1,elapsed_time
BO,1,125,29,15,9,sqrt,True,0.668954248366013,0.668954248366013,0.79718393299936
BO,2,218,4,20,13,sqrt,False,0.4886433394720687,0.668954248366013,1.0811366569996608
BO,3,141,11,13,3,,True,0.6775831013590962,0.6775831013590962,3.510378096999375
BO,4,164,19,2,10,,True,0.6875496899348068,0.6875496899348068,8.677769842000089
BO,5,105,6,15,7,log2,True,0.44736284685447997,0.6875496899348068,8.860977530999662
BO,6,206,12,11,9,log2,True,0.6090185676392573,0.6875496899348068,9.357913524999276
BO,7,188,28,3,3,,False,0.6299376299376299,0.6875496899348068,21.45368260199939
BO,8,120,11,12,3,,True,0.6771395843560792,0.6875496899348068,23.604551738999362
BO,9,21,26,15,11,sqrt,False,0.670146818923328,0.6875496899348068,23.78646518200003
BO,10,195,12,3,5,log2,True,0.6151402858655374,0.6875496899348068,24.272678880000058
BO,11,164,16,16,1,,True,0.690062210878928,0.690062210878928,30.3958911740001
BO,12,300,14,2,8,,True,0.6849975880366619,0.690062210878928,38.32118804399943
BO,13,71,20,2,6,sqrt,True,0.6679822397631968,0.690062210878928,38.91461103999973
BO,14,20,16,20,15,,True,0.683572567783094,0.690062210878928,39.72733924699969
BO,15,20,16,2,1,,False,0.6554033485540335,0.690062210878928,40.98720167099964
BO,16,300,22,20,15,log2,True,0.6316151202749141,0.690062210878928,41.967133400999955
BO,17,20,15,2,1,,True,0.6850530987478206,0.690062210878928,42.784722464999504
BO,18,20,21,20,1,,True,0.6849960722702279,0.690062210878928,43.764157626999804
BO,19,300,20,20,15,,True,0.6837498010504536,0.690062210878928,52.60867015099939
BO,20,300,14,20,1,,True,0.690032154340836,0.690062210878928,59.9865045939996
BO,21,300,24,20,1,sqrt,True,0.6807063016361574,0.690062210878928,62.273174915999334
BO,22,300,19,20,1,,True,0.6912719784571519,0.6912719784571519,72.50995584900011
BO,23,20,25,2,1,sqrt,True,0.6757527733755943,0.6912719784571519,72.945291129
BO,24,300,21,2,1,,True,0.6898813241723922,0.6912719784571519,85.58503663200008
BO,25,300,30,2,1,sqrt,False,0.6696160530889556,0.6912719784571519,90.77633414699994
BO,26,300,18,2,1,,True,0.689795918367347,0.6912719784571519,101.74667829600003
BO,27,300,23,2,1,sqrt,False,0.6772588669555448,0.6912719784571519,105.64491446200009
BO,28,20,30,2,1,log2,True,0.6616994292961319,0.6912719784571519,106.04908359399997
BO,29,300,25,2,15,sqrt,True,0.6623868312757202,0.6912719784571519,107.54851768199933
BO,30,300,16,20,1,sqrt,True,0.6686636711599268,0.6912719784571519,109.16932825200001
BO,31,20,21,20,1,sqrt,False,0.6735700197238659,0.6912719784571519,109.53115432399954
BO,32,170,19,10,1,,True,0.6922351461804463,0.6922351461804463,115.86082823699962
BO,33,300,30,20,1,log2,False,0.676923076923077,0.6922351461804463,118.65729970999928
BO,34,20,18,20,1,,True,0.687578814627995,0.6922351461804463,119.54840671399961
BO,35,20,30,20,15,log2,False,0.6407103825136612,0.6922351461804463,119.7959158879994
BO,36,300,27,20,1,sqrt,False,0.68230756869677,0.6922351461804463,123.03212949699991
BO,37,290,20,10,1,,True,0.6920535011801731,0.6922351461804463,133.86561209499996
BO,38,145,20,2,1,,True,0.6895155008568313,0.6922351461804463,140.2428383259994
BO,39,300,30,20,1,log2,True,0.676418007476028,0.6922351461804463,142.38232487200003
BO,40,237,19,12,1,,True,0.6928413749605803,0.6928413749605803,151.3067909929996
BO,41,300,14,20,15,,True,0.6811945117029863,0.6928413749605803,158.46825584199996
