method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,f1,best_f1,elapsed_time
BO,1,125,29,15,9,sqrt,True,log_loss,,0.668086500655308,0.668086500655308,0.7861100169993733
BO,2,71,12,11,7,log2,False,entropy,balanced,0.6532249551356487,0.668086500655308,1.0032211649995588
BO,3,190,8,3,15,sqrt,False,log_loss,balanced,0.6457491974733354,0.668086500655308,1.4506101919996581
BO,4,206,12,11,9,log2,True,entropy,balanced_subsample,0.6588461128292631,0.668086500655308,2.0425686319995293
BO,5,129,11,17,6,log2,True,gini,balanced,0.6541622760800843,0.668086500655308,2.3795778309995512
BO,6,224,24,3,6,log2,True,log_loss,balanced,0.6779698581560284,0.6779698581560284,3.2143771139999444
BO,7,53,23,16,9,sqrt,True,log_loss,balanced_subsample,0.684505431675243,0.684505431675243,3.561782705999576
BO,8,90,15,16,4,log2,True,entropy,balanced,0.6618720480893087,0.684505431675243,3.8654114450000634
BO,9,246,28,8,2,,True,gini,balanced_subsample,0.7064047362755651,0.7064047362755651,13.93309991299975
BO,10,110,18,15,6,sqrt,True,log_loss,,0.6623548922056385,0.7064047362755651,14.51550950699857
BO,11,138,30,4,1,,True,gini,balanced_subsample,0.7027179270525278,0.7064047362755651,22.077155990999017
BO,12,300,30,16,1,,True,gini,balanced_subsample,0.703232644409115,0.7064047362755651,34.477093142999365
BO,13,300,30,2,6,,True,gini,balanced_subsample,0.7035593660691088,0.7064047362755651,45.919991918999585
BO,14,300,28,5,1,,False,gini,balanced_subsample,0.6521412471825695,0.7064047362755651,65.169613217
BO,15,300,28,5,1,,True,log_loss,balanced_subsample,0.7059950725431152,0.7064047362755651,78.22554596000009
BO,16,300,29,6,1,,True,entropy,balanced_subsample,0.7059953354369598,0.7064047362755651,91.08079985399854
BO,17,300,27,3,1,,True,gini,balanced_subsample,0.7052952592181868,0.7064047362755651,104.55169841199859
BO,18,231,27,10,6,,True,entropy,balanced_subsample,0.7044607275999486,0.7064047362755651,113.38580734899915
BO,19,225,28,11,1,,True,log_loss,balanced_subsample,0.7059449394866338,0.7064047362755651,122.69205893099934
BO,20,300,30,5,1,,True,entropy,balanced,0.6993148946967774,0.7064047362755651,136.02647385699856
