method,evaluation,n_estimators,max_depth,f1,best_f1,elapsed_time
BO,1,125,29,0.6788495153344987,0.6788495153344987,1.6252292280000233
BO,2,225,20,0.6774141019377952,0.6788495153344987,3.3978937890000225
BO,3,63,8,0.6266183324702227,0.6788495153344987,3.5627857620000043
BO,4,36,27,0.6729721064443732,0.6788495153344987,3.9939012600000012
BO,5,188,23,0.675056469828977,0.6788495153344987,5.7806616710000185
BO,6,25,30,0.669826224328594,0.6788495153344987,6.180466668999998
BO,7,253,9,0.6316879530548843,0.6788495153344987,6.843980045000023
BO,8,71,8,0.6236373074926458,0.6788495153344987,7.022001535000015
BO,9,105,18,0.6735632183908046,0.6788495153344987,7.786780546000017
BO,10,141,11,0.6484560570071259,0.6788495153344987,8.272240138
BO,11,300,29,0.6792752701843611,0.6792752701843611,13.27982681200001
BO,12,300,27,0.673829377806286,0.6792752701843611,16.993924831000015
BO,13,300,30,0.67544834153309,0.6792752701843611,20.91800339400001
BO,14,300,19,0.6750530958993628,0.6792752701843611,23.245805200999996
BO,15,20,21,0.6745123327422216,0.6792752701843611,23.53583073500002
BO,16,300,22,0.677977056067216,0.6792752701843611,26.459541449
BO,17,300,30,0.67544834153309,0.6792752701843611,30.426942902999997
BO,18,300,22,0.677977056067216,0.6792752701843611,33.25665766900002
BO,19,300,29,0.6792752701843611,0.6792752701843611,37.08260080900001
BO,20,300,29,0.6792752701843611,0.6792752701843611,40.937964541000014
BO,21,300,15,0.6679966749792187,0.6792752701843611,42.666797422
BO,22,264,29,0.6767467770173484,0.6792752701843611,45.993838796999995
BO,23,300,21,0.6775814556654239,0.6792752701843611,48.701668138
BO,24,300,29,0.6792752701843611,0.6792752701843611,52.400603372000006
BO,25,300,29,0.6792752701843611,0.6792752701843611,56.020135083000014
BO,26,300,29,0.6792752701843611,0.6792752701843611,59.672360215
BO,27,300,29,0.6792752701843611,0.6792752701843611,63.41462188400001
BO,28,300,29,0.6792752701843611,0.6792752701843611,67.24785236600002
BO,29,300,29,0.6792752701843611,0.6792752701843611,71.217751118
BO,30,300,29,0.6792752701843611,0.6792752701843611,75.165775379
BO,31,300,29,0.6792752701843611,0.6792752701843611,79.121775106
BO,32,300,29,0.6792752701843611,0.6792752701843611,83.22194436800001
BO,33,300,29,0.6792752701843611,0.6792752701843611,87.009375352
BO,34,300,29,0.6792752701843611,0.6792752701843611,90.75953586700001
BO,35,300,29,0.6792752701843611,0.6792752701843611,94.479746366
BO,36,300,29,0.6792752701843611,0.6792752701843611,98.20228239300002
BO,37,300,29,0.6792752701843611,0.6792752701843611,101.90441634200002
BO,38,300,29,0.6792752701843611,0.6792752701843611,105.62516098500004
BO,39,300,29,0.6792752701843611,0.6792752701843611,109.30457360899999
BO,40,300,29,0.6792752701843611,0.6792752701843611,113.03199855000003
BO,41,300,29,0.6792752701843611,0.6792752701843611,116.74150029100002
BO,42,300,29,0.6792752701843611,0.6792752701843611,120.45658194399999
BO,43,300,29,0.6792752701843611,0.6792752701843611,124.178057438
BO,44,300,29,0.6792752701843611,0.6792752701843611,127.84671999800003
BO,45,300,29,0.6792752701843611,0.6792752701843611,131.55864604600004
BO,46,20,15,0.663356504468719,0.6792752701843611,131.777195274
BO,47,300,29,0.6792752701843611,0.6792752701843611,135.529981765
BO,48,138,27,0.6743515850144092,0.6792752701843611,137.92288629900003
BO,49,124,21,0.6777849740932642,0.6792752701843611,139.390810843
BO,50,146,30,0.6741715554146187,0.6792752701843611,141.36577494200003
BO,51,188,16,0.6711965528670865,0.6792752701843611,142.629618537
BO,52,60,23,0.6743849493487699,0.6792752701843611,143.382790376
BO,53,187,21,0.6777020447906524,0.6792752701843611,145.13684914499999
BO,54,96,29,0.6773477157360406,0.6792752701843611,146.86905110700002
BO,55,170,19,0.6761345086516487,0.6792752701843611,148.55466476100003
BO,56,253,22,0.6783002100500889,0.6792752701843611,151.035277237
BO,57,158,29,0.6776912068691366,0.6792752701843611,153.692514669
BO,58,89,20,0.6789139977239473,0.6792752701843611,154.74210362500003
BO,59,117,20,0.6780654616511969,0.6792752701843611,155.925730778
BO,60,20,19,0.6730644111906311,0.6792752701843611,156.23326422899999
BO,61,79,21,0.680589282823377,0.680589282823377,157.37796722400003
BO,62,72,21,0.680064829821718,0.680589282823377,158.68273660699998
BO,63,87,21,0.678629162625283,0.680589282823377,159.670663402
BO,64,204,29,0.6778096147723655,0.680589282823377,162.558920838
QMC,1,141,25,0.6813749000799361,0.6813749000799361,1.5137519529999963
QMC,2,289,12,0.6574882471457354,0.6813749000799361,2.603716712999983
QMC,3,178,20,0.6753458096013019,0.6813749000799361,4.052878691999979
QMC,4,30,5,0.5138916256157635,0.6813749000799361,4.129352869000002
QMC,5,87,21,0.678629162625283,0.6813749000799361,4.93817710999997
QMC,6,200,10,0.6423682409308693,0.6813749000799361,5.527241932999971
QMC,7,232,28,0.6789078716270158,0.6813749000799361,8.260349679
QMC,8,119,16,0.6700826446280992,0.6813749000799361,8.975291083000002
QMC,9,92,17,0.6726072607260726,0.6813749000799361,9.610046087
QMC,10,258,7,0.6064675737762856,0.6813749000799361,10.121139187999972
QMC,11,229,25,0.6806871086851822,0.6813749000799361,12.58745681199997
QMC,12,63,13,0.6617794068643785,0.6813749000799361,12.884927135999988
QMC,13,41,28,0.6728139904610493,0.6813749000799361,13.410936582999966
QMC,14,173,15,0.6697658973933256,0.6813749000799361,14.339704826000002
QMC,15,280,23,0.6751777634130576,0.6813749000799361,17.054517614999952
QMC,16,149,8,0.6225234619395204,0.6813749000799361,17.400298126999985
QMC,17,155,22,0.6799871092491138,0.6813749000799361,18.852971690999993
QMC,18,269,9,0.6309072093825457,0.6813749000799361,19.549072816999967
QMC,19,166,29,0.6768496420047733,0.6813749000799361,21.586088818999997
QMC,20,52,14,0.661639014580191,0.6813749000799361,21.87119998899999
QMC,21,66,24,0.6764327108821635,0.6813749000799361,22.585689196999965
QMC,22,215,14,0.6616440649589821,0.6813749000799361,23.620808668999985
QMC,23,255,18,0.6736807496301167,0.6813749000799361,25.40911282999997
QMC,24,107,6,0.5855970829535095,0.6813749000799361,25.630029915999955
QMC,25,113,27,0.6729539641943734,0.6813749000799361,26.99214548499998
QMC,26,244,17,0.6712962962962963,0.6813749000799361,28.570634367999958
QMC,27,206,21,0.6784670347515427,0.6813749000799361,30.349297842999988
QMC,28,75,9,0.6320301783264746,0.6813749000799361,30.563952717999996
QMC,29,27,19,0.6739378153996418,0.6813749000799361,30.83332784999999
QMC,30,193,5,0.5537654552266766,0.6813749000799361,31.154353750999974
QMC,31,292,26,0.6770265940403717,0.6813749000799361,34.338041575999966
QMC,32,126,11,0.6479350033852403,0.6813749000799361,34.777654118999976
QMC,33,130,20,0.6759002770083102,0.6813749000799361,35.82850656099998
QMC,34,296,4,0.4594594594594595,0.6813749000799361,36.279664871999955
QMC,35,189,26,0.6761691223574632,0.6813749000799361,38.38736282599996
QMC,36,22,12,0.659780073308897,0.6813749000799361,38.50669307099997
QMC,37,79,28,0.6733428707677634,0.6813749000799361,39.48946827499998
QMC,38,211,16,0.6724023825281271,0.6813749000799361,40.73571604899996
QMC,39,240,21,0.6788901509005355,0.6813749000799361,42.806924737999964
QMC,40,108,10,0.6403957693619925,0.6813749000799361,43.141689843999984
QMC,41,102,25,0.6808442596738088,0.6813749000799361,44.26591547299995
QMC,42,251,12,0.6581512605042017,0.6813749000799361,45.21541851799998
QMC,43,219,18,0.6752052545155993,0.6813749000799361,46.759426520999966
QMC,44,70,7,0.605890603085554,0.6813749000799361,46.922883050999985
QMC,45,48,23,0.6737417591252612,0.6813749000799361,47.42357589799997
QMC,46,162,8,0.6215792225902039,0.6813749000799361,47.803521746
QMC,47,273,29,0.6780038143674507,0.6813749000799361,51.103601940999965
QMC,48,159,15,0.6700945430419638,0.6813749000799361,51.95914347399997
QMC,49,145,30,0.6733206590621039,0.6813749000799361,53.78966878399996
QMC,50,276,14,0.661983609299214,0.6813749000799361,55.09635629099995
QMC,51,176,22,0.6803027862779836,0.6813749000799361,56.74352778299999
QMC,52,46,8,0.6222990492653414,0.6813749000799361,56.874612937999984
QMC,53,59,19,0.6791165962974992,0.6813749000799361,57.350584416000004
QMC,54,225,6,0.5860872740551397,0.6813749000799361,57.75069152699996
QMC,55,262,24,0.6763518966908797,0.6813749000799361,60.43389700199998
QMC,56,96,13,0.6615666056876767,0.6813749000799361,60.870986768999956
QMC,57,123,22,0.6777365790746414,0.6813749000799361,62.046866711999996
QMC,58,237,9,0.6329026701119724,0.6813749000799361,62.65810917899995
QMC,59,196,27,0.6734955185659411,0.6813749000799361,64.959612983
QMC,60,82,16,0.6696443341604632,0.6813749000799361,65.46492819299999
QMC,61,34,26,0.67814820666772,0.6813749000799361,65.88411472199999
QMC,62,183,11,0.6489145183175034,0.6813749000799361,66.51517958099998
QMC,63,285,19,0.6746239372138653,0.6813749000799361,68.661295575
QMC,64,136,5,0.5427919360973754,0.6813749000799361,68.89614484599997
