method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,class_weight,f1,best_f1,elapsed_time
BO,1,89,8,16,13,,True,entropy,balanced_subsample,0.6795383932534399,0.6795383932534399,1.020603373000995
BO,2,151,19,14,11,sqrt,True,log_loss,,0.6741461804982676,0.6795383932534399,1.677824681999482
BO,3,80,30,18,9,sqrt,True,log_loss,balanced,0.6923691114406296,0.6923691114406296,2.114683223000611
BO,4,186,5,14,6,sqrt,False,log_loss,balanced,0.6171600602107375,0.6923691114406296,2.353620736001176
BO,5,167,7,8,5,sqrt,True,entropy,,0.6305025996533795,0.6923691114406296,2.6556823190003342
BO,6,26,14,4,4,sqrt,True,log_loss,balanced_subsample,0.6805757001004128,0.6923691114406296,2.8114773580000474
BO,7,244,18,18,7,,False,gini,,0.6629526462395543,0.6923691114406296,13.421521311000106
BO,8,93,12,16,2,sqrt,False,log_loss,balanced,0.6744618074527374,0.6923691114406296,13.793940838000708
BO,9,137,19,15,1,,False,gini,,0.6499063085571518,0.6923691114406296,20.603260263000266
BO,10,196,10,6,9,log2,False,log_loss,balanced_subsample,0.6445546600537301,0.6923691114406296,20.967194558999836
BO,11,49,20,20,10,sqrt,True,log_loss,balanced,0.6871552403467297,0.6923691114406296,21.56081669299965
BO,12,84,28,16,14,sqrt,True,log_loss,balanced_subsample,0.6909959072305594,0.6923691114406296,22.18722603400056
BO,13,77,29,8,12,sqrt,True,log_loss,,0.6769731489015459,0.6923691114406296,22.803085842000655
BO,14,84,26,20,5,sqrt,True,log_loss,balanced_subsample,0.6959655853970469,0.6959655853970469,23.570339641999453
BO,15,78,27,20,6,log2,True,log_loss,balanced_subsample,0.6844703770197487,0.6959655853970469,24.094490702000257
BO,16,125,30,20,7,sqrt,True,log_loss,balanced_subsample,0.6963646855164455,0.6963646855164455,25.09284303899949
BO,17,94,30,20,7,sqrt,True,entropy,balanced_subsample,0.6962826562320175,0.6963646855164455,25.86644792200059
BO,18,104,30,20,9,sqrt,True,gini,balanced_subsample,0.6926952141057935,0.6963646855164455,26.67966683800114
BO,19,128,30,20,15,sqrt,True,entropy,balanced,0.6919495855569433,0.6963646855164455,27.54600677400049
BO,20,69,30,20,1,sqrt,False,log_loss,balanced_subsample,0.7042219248083709,0.7042219248083709,28.558962209999663
BO,21,20,30,20,1,sqrt,False,entropy,balanced_subsample,0.7021844660194175,0.7042219248083709,28.986870376000297
BO,22,29,30,20,1,sqrt,False,log_loss,balanced_subsample,0.7016776075857039,0.7042219248083709,29.531892340999548
BO,23,57,30,20,1,sqrt,False,entropy,balanced,0.7024259417286358,0.7042219248083709,30.401811906000148
BO,24,63,30,20,1,sqrt,False,entropy,balanced_subsample,0.7032752952636064,0.7042219248083709,31.29261025699998
BO,25,38,30,20,15,sqrt,False,entropy,balanced_subsample,0.6914000453823462,0.7042219248083709,31.734849608999866
BO,26,300,30,20,15,sqrt,True,log_loss,balanced_subsample,0.6903518728717367,0.7042219248083709,33.301748829000644
BO,27,20,21,20,1,sqrt,False,entropy,balanced_subsample,0.6954603506327645,0.7042219248083709,33.672309421001046
