method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
BO,1,110,10,17,10,0.6253646816543676,0.6253646816543676,0.3380931480005529
BO,2,294,24,2,1,0.6682793097887437,0.6682793097887437,3.4596385559998453
BO,3,51,18,2,9,0.6475369049593631,0.6682793097887437,3.7624496270000236
BO,4,224,12,15,10,0.634138048282897,0.6682793097887437,4.548097733999384
BO,5,81,7,8,7,0.5984861820102094,0.6682793097887437,4.741696307000893
BO,6,58,19,9,9,0.6511936339522546,0.6682793097887437,5.077097233001041
BO,7,241,26,11,14,0.6494794248884482,0.6682793097887437,6.292074471999513
BO,8,158,27,17,4,0.6622193296452977,0.6682793097887437,7.3686140370009525
BO,9,74,7,17,12,0.5970984093689914,0.6682793097887437,7.546493694000674
BO,10,79,24,16,13,0.6473988439306358,0.6682793097887437,7.978051142999902
BO,11,300,30,2,1,0.6648570972377454,0.6682793097887437,12.135059637999802
BO,12,300,24,20,1,0.6666666666666666,0.6682793097887437,14.608488793001015
BO,13,300,26,2,1,0.6706183915411728,0.6706183915411728,18.20127320699976
BO,14,20,26,2,1,0.6622369878183831,0.6706183915411728,18.596161761000985
BO,15,300,27,11,1,0.6658068676446881,0.6706183915411728,21.388678855000762
BO,16,300,19,20,1,0.6594274432379073,0.6706183915411728,23.429585988000326
BO,17,20,30,20,1,0.6690095846645367,0.6706183915411728,23.758080761999736
BO,18,20,30,2,1,0.6648768161718257,0.6706183915411728,24.16878155000086
BO,19,300,30,20,1,0.6711777025938457,0.6711777025938457,26.85215755900026
BO,20,300,30,20,1,0.6711777025938457,0.6711777025938457,29.538520469001014
BO,21,300,30,20,1,0.6711777025938457,0.6711777025938457,32.20220939700084
BO,22,300,30,20,9,0.6569367005575598,0.6711777025938457,34.05793293100032
BO,23,204,30,20,1,0.6694574142650137,0.6711777025938457,35.98846814699937
BO,24,300,28,20,1,0.665479274611399,0.6711777025938457,38.901527555999564
BO,25,20,21,20,1,0.6587965240203312,0.6711777025938457,39.22038602599969
BO,26,300,25,2,4,0.6621953214460985,0.6711777025938457,41.69945032999931
BO,27,20,30,2,15,0.6527822974292222,0.6711777025938457,41.986366986000576
BO,28,20,15,20,1,0.6527663766212445,0.6711777025938457,42.373009130000355
BO,29,20,17,20,15,0.642833388759561,0.6711777025938457,42.61309293799968
BO,30,20,30,20,6,0.6627906976744186,0.6711777025938457,43.044583430000785
BO,31,20,27,20,1,0.662672064777328,0.6711777025938457,43.37348029200075
BO,32,300,21,2,1,0.6650453955901426,0.6711777025938457,46.66855126600058
BO,33,300,17,2,1,0.6570957095709571,0.6711777025938457,48.8440457680008
BO,34,300,27,2,1,0.666025641025641,0.6711777025938457,52.68259347000094
BO,35,300,25,2,1,0.668272318561336,0.6711777025938457,56.18246936200012
BO,36,300,23,2,1,0.6667746113989638,0.6711777025938457,60.06917631000033
BO,37,300,21,20,15,0.6459647957489206,0.6711777025938457,61.69710291800038
BO,38,20,23,2,1,0.6587708066581306,0.6711777025938457,62.66657307599962
BO,39,300,26,20,1,0.6690334032596418,0.6711777025938457,65.28917314899991
BO,40,20,29,20,1,0.665604080331527,0.6711777025938457,66.04843465200065
BO,41,20,19,2,1,0.6566970091027308,0.6711777025938457,66.37812298999961
BO,42,300,30,20,1,0.6711777025938457,0.6711777025938457,69.29108545500094
BO,43,300,30,20,1,0.6711777025938457,0.6711777025938457,72.49973221499931
BO,44,300,30,20,1,0.6711777025938457,0.6711777025938457,75.33668325700091
BO,45,300,30,20,1,0.6711777025938457,0.6711777025938457,78.28401701999974
BO,46,300,30,20,1,0.6711777025938457,0.6711777025938457,81.28829534000033
BO,47,300,30,20,1,0.6711777025938457,0.6711777025938457,84.36376003899932
BO,48,300,30,20,1,0.6711777025938457,0.6711777025938457,87.22407932900023
BO,49,300,30,20,1,0.6711777025938457,0.6711777025938457,90.1994104330006
BO,50,300,14,2,1,0.6479906619976655,0.6711777025938457,92.14881010600038
BO,51,300,30,20,1,0.6711777025938457,0.6711777025938457,95.22943150699939
BO,52,300,30,20,1,0.6711777025938457,0.6711777025938457,98.00018736899983
BO,53,300,30,20,1,0.6711777025938457,0.6711777025938457,101.0421705839999
BO,54,300,30,20,1,0.6711777025938457,0.6711777025938457,104.26245389699943
BO,55,300,30,20,1,0.6711777025938457,0.6711777025938457,107.53880502399988
BO,56,300,30,20,1,0.6711777025938457,0.6711777025938457,110.76693714300018
BO,57,300,30,20,1,0.6711777025938457,0.6711777025938457,113.8577370969997
BO,58,300,30,20,1,0.6711777025938457,0.6711777025938457,117.23679715900107
BO,59,300,30,20,1,0.6711777025938457,0.6711777025938457,120.40996881200044
BO,60,300,30,20,1,0.6711777025938457,0.6711777025938457,123.76902679600062
BO,61,300,30,20,1,0.6711777025938457,0.6711777025938457,126.71283408499949
BO,62,300,30,20,1,0.6711777025938457,0.6711777025938457,129.71162493700103
BO,63,300,30,20,1,0.6711777025938457,0.6711777025938457,132.88161598700026
BO,64,300,22,20,1,0.6642658372892454,0.6711777025938457,135.40693374200055
