method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,f1,best_f1,elapsed_time
BO,1,185,22,5,1,,True,0.691358024691358,0.691358024691358,7.68720655099969
BO,2,145,4,16,10,sqrt,True,0.43320363164721143,0.691358024691358,7.887054728000294
BO,3,208,23,6,2,sqrt,False,0.6776940714051752,0.691358024691358,9.677854871000818
BO,4,172,14,9,5,sqrt,True,0.6543064217090848,0.691358024691358,10.327525651000542
BO,5,240,24,9,4,,False,0.6420209488601355,0.691358024691358,24.101641926999946
BO,6,76,17,19,4,sqrt,False,0.6632054932172166,0.691358024691358,24.56632917100069
BO,7,89,5,19,14,log2,False,0.3631361760660248,0.691358024691358,24.66758136399949
BO,8,267,22,3,9,log2,False,0.6431239388794567,0.691358024691358,25.56383489200016
BO,9,102,22,9,11,,True,0.6827541827541828,0.691358024691358,28.85621324600106
BO,10,126,25,5,9,sqrt,True,0.6661165208780326,0.691358024691358,29.489546904000235
BO,11,20,20,4,1,sqrt,True,0.6718007537276749,0.691358024691358,30.142154372999357
BO,12,280,20,17,1,sqrt,True,0.6721772193751033,0.691358024691358,32.020127285000854
BO,13,216,18,2,1,,True,0.6865054105665181,0.691358024691358,40.121717042000455
BO,14,217,19,2,1,sqrt,True,0.6725136521595234,0.691358024691358,41.909337965000304
BO,15,20,20,20,1,,True,0.6829423966810276,0.691358024691358,42.902200565000385
BO,16,20,30,20,1,log2,True,0.6764753964361615,0.691358024691358,43.238321541000914
BO,17,20,30,2,1,,True,0.6715396578538103,0.691358024691358,44.484516214000905
BO,18,20,30,20,1,sqrt,False,0.6817307692307693,0.691358024691358,44.897674428000755
BO,19,300,30,20,1,sqrt,True,0.6851132686084143,0.691358024691358,47.39619374100039
BO,20,300,30,20,15,,True,0.6817162984309958,0.691358024691358,56.576854787999764
BO,21,20,30,20,15,sqrt,True,0.667659715326051,0.691358024691358,56.867350436999914
BO,22,300,30,2,1,sqrt,False,0.6722609246358455,0.691358024691358,62.112037462000444
BO,23,300,26,20,1,,True,0.6882436934792956,0.691358024691358,74.23914428200078
BO,24,300,30,20,1,,True,0.6868462757527733,0.691358024691358,86.65146619000006
BO,25,300,30,2,1,log2,True,0.6744858611825193,0.691358024691358,89.8672893969997
BO,26,300,30,20,15,sqrt,False,0.6637945318972659,0.691358024691358,91.66894666200096
BO,27,300,21,14,1,,True,0.6906015637466092,0.691358024691358,103.20304142299938
BO,28,300,22,2,1,,True,0.6882195237344267,0.691358024691358,116.48227306900117
BO,29,20,23,20,1,sqrt,False,0.6758169934640523,0.691358024691358,116.85900211800072
BO,30,300,24,20,1,log2,True,0.669205298013245,0.691358024691358,118.60909438499948
BO,31,20,20,2,1,sqrt,False,0.6756005883314267,0.691358024691358,118.9890562920009
BO,32,20,24,20,1,,True,0.6836363636363636,0.691358024691358,120.03659037699981
BO,33,20,21,2,1,,True,0.6746231155778895,0.691358024691358,121.15024332600115
BO,34,300,19,20,15,,True,0.6798967408841562,0.691358024691358,129.99873444200057
BO,35,209,22,20,1,,True,0.6882578174856413,0.691358024691358,138.1743350150009
BO,36,300,18,20,1,,True,0.6864189622037156,0.691358024691358,148.2137909180001
BO,37,300,24,20,15,,True,0.6803528468323977,0.691358024691358,157.23591531400052
BO,38,300,20,8,1,,True,0.6892925430210325,0.691358024691358,168.68145330100015
